height,width,quantity
67,25,4
24,25,4
66.875,25,4
24,25,4
69,25,41
15,25,41
69,25,4
15,25,4
69,25,19
15,25,19
69,25,4
15,25,4
69,25,10
15,25,10
69,25,1
15,25,1
69,25,4
17,25,4
69,25,1
20,25,1
69,25,4
20,25,4
69,25,44
15,25,44
59,30,44
69,25,2
16,25,2
63,30,2
69,25,4
15,25,4
63,30,4
69,25,3
15,25,3
