height,width,quantity
98.25,31.75,1
16,25,1
15.25,25,1
87,25,3
63.25,25,3
72,38,3
15.25,25,3
88,25,1
63.25,25,1
72,38,1
15.25,25,1
87,25,3
63.75,25,3
72,38,3
15.25,25,3
81.25,25,1
72,38,1
45,25,1
37.75,25,1
87,25,1
64.75,25,1
72,38,1
15.25,25,1
87,25,4
63.75,25,4
72,38,4
15.25,25,4
