height,width,quantity
74.5,40,13
67,25,13
45,25,13
38,25,13
102.75,36,13
35,25,13
42,25,13
38,25,13
78,25,10
23,25,10
60,40,10
12,25,10
98,36,1
31.5,25,1
35,25,1
29,25,1
85.75,36,52
35,25,52
43,25,52
23,25,52
93,36,6
35,25,6
42,25,6
29,25,6
124.25,36,3
35,25,3
44,25,3
38,25,3
82.75,36,11
35,25,11
9,25,11
97.75,36,3
35,25,3
42,25,3
23,25,3
98.75,36,3
37,25,3
9,25,3
85.75,36,3
35,25,3
42,25,3
23,25,3
72.5,22.5,22
72.5,4,22
21.25,4,22
36.5,22.5,11
36.5,4,11
21.25,4,11
36.5,22.5,4
36.5,4,4
21.25,4,4
66.5,22.5,39
66.5,4,39
21.25,4,39
45,22.5,39
45,4,39
21.25,4,39
21.25,4,39
66.5,22.5,6
66.5,4,6
21.25,4,6
51,22.5,6
51,4,6
21.25,4,6
21.25,4,6
60.5,22.5,3
60.5,4,3
21.25,4,3
36.5,22.5,3
36.5,4,3
21.25,4,3
33.5,22.5,11
33.5,4,11
21.25,4,11
66.5,22.5,3
66.5,4,3
21.25,4,3
48.5,22.5,3
48.5,4,3
21.25,4,3
72.5,22.5,3
72.5,4,3
21.25,4,3
63,22.5,3
63,4,3
21.25,4,3
21.25,4,3
66.5,22.5,11
66.5,4,11
21.25,4,11
46.5,22.5,11
46.5,4,11
21.25,4,11
66.5,22.5,5
66.5,4,5
21.25,4,5
36.5,22.5,5
36.5,4,5
21.25,4,5
